title,description,logo_image
3D,3D modeling is the process of virtually developing the surface and structure of a 3D object.,
Ajax,Ajax is a technique for creating interactive web applications.,https://raw.githubusercontent.com/github/explore/8be26d91eb231fec0b8856359979ac09f27173fd/topics/ajax/ajax.png
Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.,
Amp,Amp is a non-blocking concurrency library for PHP.,https://raw.githubusercontent.com/github/explore/99fe59c0f4fb5d6545311440b4ce89a0d82b0804/topics/amphp/amphp.png
Android,Android is an operating system built by Google designed for mobile devices.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/android/android.png
Angular,Angular is an open source web application platform.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/angular/angular.png
Ansible,Ansible is a simple and powerful automation engine.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ansible/ansible.png
API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.,
Arduino,Arduino is an open source hardware and software company and maker community.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/arduino/arduino.png
ASP.NET,ASP.NET is a web framework for building modern web apps and services.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/aspnet/aspnet.png
Atom,Atom is a open source text editor built with web technologies.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/atom/atom.png
Awesome Lists,An awesome list is a list of awesome things curated by the community.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/awesome/awesome.png
Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.,https://raw.githubusercontent.com/github/explore/fbceb94436312b6dacde68d122a5b9c7d11f9524/topics/aws/aws.png
Azure,Azure is a cloud computing service created by Microsoft.,https://raw.githubusercontent.com/github/explore/eaef8552d8b082ffafe2bfc8a5023d47da904aac/topics/azure/azure.png
Babel,"Babel is a compiler for writing next generation JavaScript, today.",https://raw.githubusercontent.com/github/explore/cb39e2385dfcec8a661d01bfacff6b1e33bbaa9d/topics/babel/babel.png
Bash,Bash is a shell and command language interpreter for the GNU operating system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/bash/bash.png
Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/bitcoin/bitcoin.png
Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/bootstrap/bootstrap.png
Bot,A bot is an application that runs automated tasks over the Internet.,https://raw.githubusercontent.com/github/explore/0a84ca418425da147e4e43b1c74aa169d3265870/topics/bot/bot.png
C,C is a general purpose programming language that first appeared in 1972.,https://raw.githubusercontent.com/github/explore/f3e22f0dca2be955676bc70d6214b95b13354ee8/topics/c/c.png
Chrome,Chrome is a web browser from the tech company Google.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/chrome/chrome.png
Chrome extension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/chrome-extension/chrome-extension.png
Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program.",https://raw.githubusercontent.com/github/explore/aca0b3b69ca680013b925338b0cc428190aa42dc/topics/cli/cli.png
Clojure,"Clojure is a dynamic, general-purpose programming language.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/clojure/clojure.png
Code quality,"Automate your code review with style, quality, security, and test‑coverage checks when you need them.",
Code review,Ensure your code meets quality standards and ship with confidence.,
Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).,
Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.",
COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.,https://raw.githubusercontent.com/github/explore/af16e074f93c080d7b283815787283cab0e9414b/topics/covid-19/covid-19.png
C++,C++ is a general purpose and object-oriented programming language.,https://raw.githubusercontent.com/github/explore/180320cffc25f4ed1bbdfd33d4db3a66eeeeb358/topics/cpp/cpp.png
Cryptocurrency,A cryptocurrency is a digital currency that uses cryptography.,
Crystal,"Crystal is a self-hosted, general purpose programming language.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/crystal/crystal.png
C#,"C# (""C sharp"") is an object-oriented and type-safe programming language.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/csharp/csharp.png
CSS,Cascading Style Sheets (CSS) is a language used most often to style and improve upon the appearance of views.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/css/css.png
Data structures,Data structures are a way of organizing and storing data.,
Data visualization,Data visualization is the graphic representation of data and trends.,
Database,"A database is a structured set of data held in a computer, usually a server.",https://raw.githubusercontent.com/github/explore/13295c57999765ac9ffa3281942a72ab08b79de2/topics/database/database.png
Deep learning,Deep Learning is an artificial neural network composed of many layers.,
Dependency management,Secure and manage your third-party dependencies.,
Deployment,Streamline your code deployment so you can focus on your product.,
Django,Django is a web application framework for Python.,https://raw.githubusercontent.com/github/explore/7456fdff59816d37ef383a6c8f32a26ff7332db2/topics/django/django.png
Docker,Docker is a platform built for developers to build and run applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/docker/docker.png
Documentation,Documentation is a set of information that describes a product to its users.,
.NET,".NET is a free, cross-platform, open source developer platform.",https://raw.githubusercontent.com/github/explore/93d8a67084f94b2a444e510199a6e7622e5b09a3/topics/dotnet/dotnet.png
Electron,Electron is a framework for building cross-platform desktop applications with web technology.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/electron/electron.png
Elixir,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications.",https://raw.githubusercontent.com/github/explore/d106aa3f6fa091ab80ab5c8cf0d931baff3caaea/topics/elixir/elixir.png
Emacs,"Emacs is an extensible, customizable, free text editor and computing environment.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/emacs/emacs.png
Ember,Ember is a framework for creating web applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ember/ember.png
Emoji,"Emojis are graphic symbols that represent an emotion, object, or concept.",
Emulator,An emulator is any hardware or software that allows one computer to behave like another.,
ESLint,The pluggable linting utility for JavaScript and JSX.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/eslint/eslint.png
Ethereum,Ethereum is a distributed public blockchain network.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ethereum/ethereum.png
Express,Express is a minimal Node.js framework for web and mobile applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/express/express.png
Firebase,Firebase is a mobile app development platform that provides data analysis and database web services for developers.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/firebase/firebase.png
Firefox,Firefox is an open source web browser from Mozilla.,https://raw.githubusercontent.com/github/explore/728542e0d33f83720614f61923a9cb424264db23/topics/firefox/firefox.png
Flask,Flask is a web framework for Python based on the Werkzeug toolkit.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/flask/flask.png
Font,A font is a particular style of typeface for text.,
Framework,A framework is a reusable set of libraries or classes in software.,
Front end,Front end is the programming and layout that people see and interact with.,
Game engine,A game engine is a software framework used to develop and create video games.,
Git,Git is the most widely used version control system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/git/git.png
GitHub API,The GitHub API allows you to build applications that integrate with GitHub.,https://raw.githubusercontent.com/github/explore/89bdd9644f44d1b12180fd512b95574fe4c54617/topics/github-api/github-api.png
Go,Go is a programming language built to resemble a simplified version of the C programming language.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/go/go.png
Google,Google LLC is an American multinational technology company that specializes in Internet-related services and products.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/google/google.png
Gradle,"Gradle is an open-source build tool that helps teams build, automate and deliver better software, faster.",https://raw.githubusercontent.com/github/explore/59009b1589a883459c0ae19044e3e7e3ec0c4e0a/topics/gradle/gradle.png
GraphQL,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.,https://raw.githubusercontent.com/github/explore/e65ef46ef3e7bc457c93622f6a89fe8d3fd131d5/topics/graphql/graphql.png
Gulp,Gulp is a toolkit for automating and streamlining web development.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/gulp/gulp.png
Hacktoberfest,Hacktoberfest is a month-long celebration of open source software.,https://raw.githubusercontent.com/github/explore/b9a0686036b9a0322b1d6f85ec26e4aa3e768a4b/topics/hacktoberfest/hacktoberfest.png
Haskell,"Haskell is a functional programming language with non-strict semantics, and strong static typing.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/haskell/haskell.png
Homebrew,Homebrew is a package manager for macOS.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/homebrew/homebrew.png
Homebridge,"Homebridge is a utility for tying smart home devices together into Apple’s HomeKit framework, controlled by Siri.",https://raw.githubusercontent.com/github/explore/be55e061a965edba2e58c3ec58f319acba90b01f/topics/homebridge/homebridge.png
HTML,HTML is the fundamental markup language for webpages.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/html/html.png
HTTP,HTTP (Hypertext Transfer Protocol) is the standard for communication across the web.,
Icon font,Icon fonts contain glyphs and symbols in place of textual letters.,
iOS,iOS is the operating system for Apple's mobile products.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ios/ios.png
IPFS,IPFS is a peer-to-peer protocol for content-addressed sharing of data via a distributed file system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ipfs/ipfs.png
Java,"Java is an object-oriented programming language used mainly for web, desktop, embedded devices and mobile applications.",https://raw.githubusercontent.com/github/explore/5b3600551e122a3277c2c5368af2ad5725ffa9a1/topics/java/java.png
JavaScript,JavaScript (JS) is a lightweight interpreted programming language with first-class functions.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/javascript/javascript.png
Jekyll,"Jekyll is a simple, blog-aware static site generator.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/jekyll/jekyll.png
jQuery,jQuery is a lightweight library that simplifies programming with JavaScript.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/jquery/jquery.png
JSON,"JSON (JavaScript Object Notation) allows for easy interchange of data, often between a program and a database.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/json/json.png
The Julia Language,"Julia is a high-level, high-performance dynamic programming language for numerical computing.",https://raw.githubusercontent.com/github/explore/49e13f12be05e7e3f3616bb7a5030d70b259f320/topics/julia/julia.png
Jupyter Notebook,"Jupyter Notebooks are documents that contain live code, visualizations, and narrative text.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/jupyter-notebook/jupyter-notebook.png
Koa,Koa is an expressive middleware framework for Node.js servers that uses ES2017 async functions.,https://raw.githubusercontent.com/github/explore/087f23463641d25ee971402fa26e3dfb2855edb9/topics/koa/koa.png
Kotlin,Kotlin is a statically typed programming language for multiplatform applications.,https://raw.githubusercontent.com/github/explore/4479d2a2c854198cb00160f8593519c14dc3b905/topics/kotlin/kotlin.png
Kubernetes,"Kubernetes is an open source system for automating deployment, scaling, and management of containerized applications.",https://raw.githubusercontent.com/github/explore/01ea2a586e5da744792d0ccfce2f68b861f29301/topics/kubernetes/kubernetes.png
Laravel,The PHP Framework for Web Artisans.,https://raw.githubusercontent.com/github/explore/56a826d05cf762b2b50ecbe7d492a839b04f3fbf/topics/laravel/laravel.png
LaTeX,LaTeX is a document preparation system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/latex/latex.png
Library,"A library is a collection of resources, often created to make programming a task simpler.",
Linux,Linux is an open source kernel.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/linux/linux.png
Localization,Translation of a software interface and messages to another language plus to work with local cultures.,
Lua,"Lua is a lightweight, embeddable scripting language.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/lua/lua.png
Machine learning,Machine learning is a way of modeling and interpreting data that allows a piece of software to respond intelligently.,
macOS,macOS is Apple's operating system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/macos/macos.png
Markdown,Markdown is a lightweight markup language.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/markdown/markdown.png
Mastodon,"Mastodon is a free, decentralized, open-source microblogging network.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/mastodon/mastodon.png
Material design,Material design is a unified system of theory and tools for creating digital experiences developed by Google.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/material-design/material-design.png
MATLAB,MATLAB is a programming platform for numerical computation and visualization.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/matlab/matlab.png
Maven,Maven is a build automation tool used primarily for Java projects.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/maven/maven.png
Minecraft,Minecraft is a sandbox video game.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/minecraft/minecraft.png
Mobile,"Mobile apps, mobile OS, mobile databases, & mobile testing frameworks.",
Monero,"Monero is a private, fungible, open source, decentralized cryptocurrency.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/monero/monero.png
MongoDB,MongoDB is an open source NoSQL document-oriented database.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/mongodb/mongodb.png
Mongoose,Mongoose is a MongoDB object modeling tool designed to work in an asynchronous environment.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/mongoose/mongoose.png
Monitoring,"Monitor the impact of your code changes. Measure performance, track errors, and analyze your application.",
MvvmCross,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows, and Mac.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/mvvmcross/mvvmcross.png
MySQL,MySQL is an open source relational database management system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/mysql/mysql.png
NativeScript,NativeScript is a JavaScript-native mobile framework.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/nativescript/nativescript.png
Nim,"Nim is a statically typed, compiled, garbage-collected systems programming language.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/nim/nim.png
Natural language processing,Natural language processing (NLP) is the study of how computers and humans interact.,
Node.js,Node.js is a tool for executing JavaScript in a variety of environments.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/nodejs/nodejs.png
NoSQL,A NoSQL database refers to a database whose storage format is modeled differently from relational databases.,
npm,npm is a package manager for JavaScript included with Node.js.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/npm/npm.png
Objective-C,"Objective-C is general purpose, object-oriented programming language used for macOS and iOS operating systems.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/objective-c/objective-c.png
OpenGL,OpenGL is a software interface that allows a programmer to communicate with graphics hardware.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/opengl/opengl.png
Operating system,An operating system is a program that manages a computer's programs and applications.,
P2P,Peer-to-Peer applications are decentralized or distributed.,
Package manager,A package manager is a set of tools that automates and manages computer software.,
Parsing,Parsing is the process of analyzing a string of symbols conforming to the rules of a formal grammar.,
Perl,Perl is a highly capable and feature-rich programming language.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/perl/perl.png
Phaser,"Phaser is a fun, free, and fast 2D game framework for making HTML5 games for desktop and mobile web browsers.",https://raw.githubusercontent.com/github/explore/b7c8510756ee50efb38d1f01896e72b7a9737296/topics/phaser/phaser.png
PHP,PHP is a popular general-purpose scripting language that works particularly well for server-side web development.,https://raw.githubusercontent.com/github/explore/ccc16358ac4530c6a69b1b80c7223cd2744dea83/topics/php/php.png
PICO-8,"PICO-8 is a fantasy console for making, sharing and playing tiny games and other computer programs in Lua.",https://raw.githubusercontent.com/github/explore/4262c3bd938f34012322129aa29b0e9bd5a1048b/topics/pico-8/pico-8.png
Pixel Art,Pixel art is a form of digital art where images are created and edited at the pixel level.,https://raw.githubusercontent.com/github/explore/1e17a81b15f2961de6337c40b02920a681696c33/topics/pixel-art/pixel-art.png
PostgreSQL,PostgreSQL is an open source database system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/postgresql/postgresql.png
Project management,Project management is about building scope and executing on the project's goals.,
Publishing,Publishing is the dissemination of making information available to the general public through various mediums.,
PWA,Progressive Web Apps are traditional web sites that are enhanced with native like features.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/pwa/pwa.png
Python,Python is a dynamically typed programming language.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/python/python.png
Qt,"Qt, pronounced ""cute"", is a cross-platform application development framework.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/qt/qt.png
R,R is a free programming language and software environment for statistical computing and graphics.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/r/r.png
Rails,Ruby on Rails (Rails) is a web application framework written in Ruby.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/rails/rails.png
Raspberry Pi,The Raspberry Pi is a popular single-board computer.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/raspberry-pi/raspberry-pi.png
Ratchet,Ratchet is a set of libraries to handle WebSockets asynchronously in PHP.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ratchet/ratchet.png
React,React is an open source JavaScript library used for designing user interfaces.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/react/react.png
React Native,React Native is a JavaScript mobile framework developed by Facebook.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/react-native/react-native.png
ReactiveUI,"ReactiveUI is a composable, cross-platform model-view-viewmodel framework for all .NET platforms.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/reactiveui/reactiveui.png
Redux,Redux is a predictable state container for JavaScript apps.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/redux/redux.png
REST API,A representational state transfer (REST) API is a way to provide compatibility between computer systems on the internet.,
Ruby,Ruby is a scripting language designed for simplified object-oriented programming.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ruby/ruby.png
Rust,Rust is a systems programming language created by Mozilla.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/rust/rust.png
Sass,Sass is a stable extension to classic CSS.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/sass/sass.png
Scala,Scala is an object-oriented programming language.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/scala/scala.png
scikit-learn,scikit-learn is a Python module for machine learning.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/scikit-learn/scikit-learn.png
Software-defined networking,"Software-defined networking (SDN) is an architecture for programmable, centrally managed networks.",
Security,"Cybersecurity is the protection of computer hardware, software, and data from theft, damage, and malicious intent.",
Server,A server is a program made to process requests and deliver data to clients.,
Serverless,Serverless architecture refers to apps that depend on third-party services or custom code.,
Shell,"A shell is a command-line tool, designed to be run by the Unix shell.",
Sketch,"Sketch is a vector graphics editor for Apple's macOS, used primarily for user interface and icon design.",https://raw.githubusercontent.com/github/explore/a5995564b5ff71c41da080abc49f1ba4132127c1/topics/sketch/sketch.png
SpaceVim,SpaceVim is a community-driven distribution of the vim editor that allows managing your plugins in layers.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/spacevim/spacevim.png
Spring Boot,Spring Boot is a coding and configuration model for Java applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/spring-boot/spring-boot.png
SQL,"SQL is a standard language for storing, retrieving and manipulating data in databases.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/sql/sql.png
Storybook,Storybook is a UI development environment for your UI components.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/storybook/storybook.png
Support,Get your team and customers the help they need.,
Swift,"Swift is a modern programming language focused on safety, performance, and expressivity.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/swift/swift.png
Symfony,Symfony is a set of reusable PHP components and a web framework.,https://raw.githubusercontent.com/github/explore/d0c5a5e31e1776ad62379ef5f6b703bcf107d3a3/topics/symfony/symfony.png
Telegram,"Telegram is a non-profit, cloud-based instant messaging service.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/telegram/telegram.png
Tensorflow,TensorFlow is an open source software library for numerical computation.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/tensorflow/tensorflow.png
Terminal,The terminal is an interface in which you can type and execute text-based commands.,https://raw.githubusercontent.com/github/explore/d92924b1d925bb134e308bd29c9de6c302ed3beb/topics/terminal/terminal.png
Terraform,"An infrastructure-as-code tool for building, changing, and versioning infrastructure safely and efficiently.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/terraform/terraform.png
Testing,Eliminate bugs and ship with more confidence by adding these tools to your workflow.,
Twitter,"Twitter is an online news and social networking service where users post and interact with messages, known as “Tweets”.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/twitter/twitter.png
TypeScript,TypeScript is a typed superset of JavaScript that compiles to plain JavaScript.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/typescript/typescript.png
Ubuntu,Ubuntu is a Linux-based operating system.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/ubuntu/ubuntu.png
Unity,"Unity is a game engine used to create 2D/3D video games, and simulations for computers, consoles, and mobile devices.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/unity/unity.png
Unreal Engine,"Unreal Engine is used to create awesome games, and experiences for PC, mobile, console, VR, and AR.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/unreal-engine/unreal-engine.png
Vagrant,Vagrant is an open-source software product for building and maintaining portable virtual software development environments.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/vagrant/vagrant.png
Vim,Vim is a console-run text editor program.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/vim/vim.png
Virtual reality,Virtual reality is an artificial environment displayed through digital means.,
Vue.js,Vue.js is a JavaScript framework for building interactive web applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/vue/vue.png
Wagtail,Wagtail is an open source CMS written in Python and built on the Django web framework.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/wagtail/wagtail.png
Web Components,Web Components are a set of web platform APIs developers can use to create custom HTML tags.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/web-components/web-components.png
Web app,A web application is any computer program that performs a specific function by using a web browser as its client.,
Webpack,Webpack is a bundler that takes modules with dependencies and creates static assets.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/webpack/webpack.png
Windows,Windows is Microsoft's GUI-based operating system.,https://raw.githubusercontent.com/github/explore/379d49236d826364be968345e0a085d044108cff/topics/windows/windows.png
WordPlate,WordPlate is a modern WordPress stack which simplifies WordPress development.,https://raw.githubusercontent.com/github/explore/6f9adf0f327ec1ece2042bb967286acdfc475452/topics/wordplate/wordplate.png
WordPress,"WordPress is a popular content management system, used for websites and blogs.",https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/wordpress/wordpress.png
Xamarin,Xamarin is a platform for developing iOS and Android applications.,https://raw.githubusercontent.com/github/explore/80688e429a7d4ef2fca1e82350fe8e3517d3494d/topics/xamarin/xamarin.png
XML,XML is subset of SGML (Standard Generalized Markup Language) used to store and transport data.,https://raw.githubusercontent.com/github/explore/05a6f4c574a32b6b2f04c2e589f6c82d9df46a5d/topics/xml/xml.png
